               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  98,             0.13073,            0.032395,                   0,             0.47173,             0.28697,             0.27966,            0.096036,             0.12184,            0.033709,                   0,            0.006799,            0.006799,            0.006799
                  99,             0.13208,            0.030967,                   0,             0.50074,             0.28665,             0.28246,            0.097911,              0.1213,            0.033439,                   0,            0.006766,            0.006766,            0.006766
                 100,             0.13127,            0.031432,                   0,             0.49951,             0.28554,             0.28102,            0.096763,             0.12133,            0.033802,                   0,            0.006733,            0.006733,            0.006733
                 101,             0.13222,             0.03077,                   0,             0.49104,             0.29411,             0.28762,            0.097651,             0.12129,            0.034351,                   0,              0.0067,              0.0067,              0.0067
                 102,             0.13301,            0.031377,                   0,             0.48361,               0.293,             0.28424,            0.096242,             0.12126,             0.03487,                   0,            0.006667,            0.006667,            0.006667
                 103,             0.13129,             0.03051,                   0,              0.4825,             0.29316,             0.28673,            0.095141,             0.12131,            0.033226,                   0,            0.006634,            0.006634,            0.006634
                 104,             0.13213,            0.030439,                   0,             0.44137,             0.29292,             0.26371,            0.082304,             0.12262,            0.033682,                   0,            0.006601,            0.006601,            0.006601
                 105,             0.13065,            0.031662,                   0,             0.49496,              0.2926,             0.28394,            0.090567,             0.12101,            0.033533,                   0,            0.006568,            0.006568,            0.006568
                 106,             0.13089,            0.032304,                   0,             0.48252,             0.29435,             0.28503,            0.099214,             0.12114,            0.033233,                   0,            0.006535,            0.006535,            0.006535
                 107,             0.13021,            0.030955,                   0,             0.47632,             0.30045,             0.29223,              0.1015,             0.12086,            0.033543,                   0,            0.006502,            0.006502,            0.006502
                 108,             0.13102,            0.030355,                   0,             0.49941,             0.30243,               0.295,             0.10009,             0.12048,            0.033625,                   0,            0.006469,            0.006469,            0.006469
                 109,             0.13121,            0.030133,                   0,             0.50161,             0.29474,             0.29173,             0.10127,             0.12107,            0.032711,                   0,            0.006436,            0.006436,            0.006436
                 110,             0.13114,            0.031497,                   0,             0.50478,             0.29736,             0.29864,             0.10121,             0.12014,            0.033485,                   0,            0.006403,            0.006403,            0.006403
                 111,             0.13065,            0.031923,                   0,             0.49645,             0.29855,             0.28458,            0.093576,             0.12034,            0.034965,                   0,             0.00637,             0.00637,             0.00637
                 112,             0.13101,             0.03119,                   0,             0.50207,             0.29411,             0.29205,            0.098864,             0.12094,            0.032355,                   0,            0.006337,            0.006337,            0.006337
                 113,             0.13089,            0.031349,                   0,             0.52117,             0.30687,             0.30826,             0.10454,             0.12015,             0.03379,                   0,            0.006304,            0.006304,            0.006304
                 114,             0.13097,            0.031108,                   0,             0.47947,             0.30442,             0.28836,            0.094897,             0.12063,            0.033344,                   0,            0.006271,            0.006271,            0.006271
                 115,             0.13182,            0.030731,                   0,             0.51084,             0.30561,             0.29988,             0.10564,             0.12016,            0.033266,                   0,            0.006238,            0.006238,            0.006238
                 116,             0.13132,            0.031111,                   0,             0.50602,             0.30513,             0.29844,             0.10285,             0.12012,            0.033117,                   0,            0.006205,            0.006205,            0.006205
                 117,             0.13151,            0.031906,                   0,             0.50655,             0.31373,             0.30849,             0.10583,             0.11951,            0.033546,                   0,            0.006172,            0.006172,            0.006172
                 118,             0.13019,            0.031512,                   0,             0.49085,             0.30767,             0.30157,             0.10331,             0.12054,            0.032323,                   0,            0.006139,            0.006139,            0.006139
                 119,             0.13101,             0.03146,                   0,             0.53293,             0.30584,             0.30693,             0.10632,             0.11982,             0.03376,                   0,            0.006106,            0.006106,            0.006106
                 120,             0.13116,            0.031531,                   0,              0.5114,             0.30711,              0.3068,             0.10741,             0.12001,            0.032495,                   0,            0.006073,            0.006073,            0.006073
                 121,             0.13139,            0.030516,                   0,             0.50833,             0.31298,               0.312,              0.1083,             0.12018,            0.032265,                   0,             0.00604,             0.00604,             0.00604
                 122,             0.13041,            0.031003,                   0,             0.51556,             0.31235,             0.30883,             0.10703,             0.11981,            0.032762,                   0,            0.006007,            0.006007,            0.006007
                 123,             0.13077,            0.030502,                   0,             0.52967,             0.31183,              0.3169,             0.11142,              0.1192,            0.033169,                   0,            0.005974,            0.005974,            0.005974
                 124,             0.12988,            0.031653,                   0,             0.52798,             0.31734,             0.31675,              0.1107,             0.11958,            0.032609,                   0,            0.005941,            0.005941,            0.005941
                 125,             0.13086,            0.031184,                   0,             0.49605,             0.31956,             0.30707,             0.10006,             0.12007,            0.033221,                   0,            0.005908,            0.005908,            0.005908
                 126,             0.13068,            0.031522,                   0,             0.51185,             0.31695,             0.31479,             0.11233,             0.11975,            0.032648,                   0,            0.005875,            0.005875,            0.005875
