               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 134,            0.037609,           0.0066677,                   0,             0.70204,             0.54383,             0.61402,             0.28738,             0.02616,           0.0055093,                   0,            0.005611,            0.005611,            0.005611
                 135,            0.037632,           0.0069247,                   0,             0.70361,             0.54423,             0.61471,             0.28768,            0.026148,           0.0055062,                   0,            0.005578,            0.005578,            0.005578
                 136,            0.037983,           0.0067908,                   0,             0.70554,             0.54375,              0.6157,             0.28834,            0.026135,            0.005502,                   0,            0.005545,            0.005545,            0.005545
                 137,             0.03712,           0.0067641,                   0,             0.70489,              0.5455,              0.6163,             0.28888,            0.026123,           0.0054989,                   0,            0.005512,            0.005512,            0.005512
                 138,            0.038014,           0.0067739,                   0,             0.70417,             0.54605,             0.61669,             0.28896,            0.026108,           0.0054952,                   0,            0.005479,            0.005479,            0.005479
                 139,            0.037664,            0.006778,                   0,             0.70343,             0.54653,             0.61754,             0.28975,             0.02609,           0.0054915,                   0,            0.005446,            0.005446,            0.005446
                 140,            0.037642,           0.0069278,                   0,             0.70415,             0.54719,             0.61855,             0.29017,            0.026071,           0.0054875,                   0,            0.005413,            0.005413,            0.005413
                 141,            0.037405,           0.0069182,                   0,             0.70661,             0.54748,             0.61987,             0.29053,            0.026056,           0.0054844,                   0,             0.00538,             0.00538,             0.00538
                 142,            0.037464,           0.0067497,                   0,             0.70703,             0.54899,             0.62066,             0.29092,             0.02604,           0.0054807,                   0,            0.005347,            0.005347,            0.005347
                 143,            0.037731,           0.0068751,                   0,             0.70531,             0.55073,             0.62137,             0.29096,            0.026019,           0.0054792,                   0,            0.005314,            0.005314,            0.005314
                 144,            0.037354,           0.0067842,                   0,             0.70386,             0.55311,             0.62253,             0.29134,            0.026008,           0.0054773,                   0,            0.005281,            0.005281,            0.005281
                 145,            0.036935,              0.0067,                   0,             0.70691,             0.55248,             0.62273,             0.29137,            0.025991,           0.0054775,                   0,            0.005248,            0.005248,            0.005248
                 146,            0.037057,           0.0066245,                   0,             0.70596,             0.55319,             0.62308,             0.29197,            0.025975,            0.005477,                   0,            0.005215,            0.005215,            0.005215
                 147,            0.037107,           0.0067908,                   0,             0.70853,             0.55296,             0.62376,             0.29208,            0.025961,           0.0054764,                   0,            0.005182,            0.005182,            0.005182
                 148,            0.037754,           0.0067904,                   0,             0.70707,             0.55446,             0.62435,             0.29257,            0.025951,           0.0054729,                   0,            0.005149,            0.005149,            0.005149
                 149,            0.037595,           0.0068562,                   0,             0.70669,             0.55383,             0.62471,             0.29296,             0.02594,           0.0054713,                   0,            0.005116,            0.005116,            0.005116
                 150,             0.03787,           0.0068213,                   0,             0.70784,             0.55343,              0.6255,               0.293,            0.025932,           0.0054686,                   0,            0.005083,            0.005083,            0.005083
                 151,            0.036695,           0.0065016,                   0,             0.71025,             0.55311,              0.6262,             0.29351,            0.025922,           0.0054664,                   0,             0.00505,             0.00505,             0.00505
                 152,            0.037274,           0.0066295,                   0,             0.71089,             0.55322,             0.62729,             0.29388,            0.025911,           0.0054625,                   0,            0.005017,            0.005017,            0.005017
                 153,            0.037674,           0.0067971,                   0,              0.7131,             0.55331,             0.62772,              0.2941,              0.0259,           0.0054587,                   0,            0.004984,            0.004984,            0.004984
                 154,            0.037477,           0.0068379,                   0,             0.71205,             0.55486,             0.62875,             0.29451,             0.02589,           0.0054558,                   0,            0.004951,            0.004951,            0.004951
                 155,            0.036957,           0.0065852,                   0,             0.71185,             0.55425,             0.62878,             0.29463,            0.025877,           0.0054538,                   0,            0.004918,            0.004918,            0.004918
                 156,              0.0365,           0.0066448,                   0,             0.71343,             0.55351,             0.62913,             0.29501,            0.025865,           0.0054488,                   0,            0.004885,            0.004885,            0.004885
                 157,            0.037109,           0.0066911,                   0,             0.71689,             0.55311,             0.63039,             0.29558,            0.025852,           0.0054451,                   0,            0.004852,            0.004852,            0.004852
                 158,            0.037086,           0.0067031,                   0,             0.71643,             0.55301,             0.63065,             0.29577,             0.02584,           0.0054394,                   0,            0.004819,            0.004819,            0.004819
                 159,             0.03658,           0.0066559,                   0,             0.71523,             0.55319,             0.63119,             0.29609,             0.02582,            0.005436,                   0,            0.004786,            0.004786,            0.004786
                 160,            0.037299,           0.0067213,                   0,             0.71602,             0.55422,             0.63179,             0.29631,            0.025806,           0.0054334,                   0,            0.004753,            0.004753,            0.004753
                 161,            0.036681,           0.0067961,                   0,             0.71705,             0.55422,             0.63267,             0.29657,            0.025792,           0.0054303,                   0,             0.00472,             0.00472,             0.00472
                 162,            0.037218,           0.0066815,                   0,             0.71791,             0.55454,             0.63335,             0.29709,            0.025774,           0.0054276,                   0,            0.004687,            0.004687,            0.004687
                 163,            0.037398,           0.0066348,                   0,             0.71945,             0.55534,             0.63429,             0.29748,            0.025759,           0.0054239,                   0,            0.004654,            0.004654,            0.004654
                 164,            0.035766,           0.0065308,                   0,             0.71996,             0.55668,             0.63473,             0.29791,            0.025746,           0.0054215,                   0,            0.004621,            0.004621,            0.004621
                 165,            0.037237,           0.0066433,                   0,             0.71872,             0.55859,             0.63575,             0.29828,            0.025733,           0.0054202,                   0,            0.004588,            0.004588,            0.004588
                 166,            0.036689,           0.0067096,                   0,             0.71732,             0.55954,             0.63653,             0.29865,            0.025715,           0.0054171,                   0,            0.004555,            0.004555,            0.004555
                 167,            0.037038,           0.0065091,                   0,             0.72029,             0.55843,              0.6371,              0.2991,            0.025696,           0.0054123,                   0,            0.004522,            0.004522,            0.004522
                 168,            0.036492,           0.0066399,                   0,             0.71993,             0.56113,              0.6378,             0.29959,            0.025675,           0.0054065,                   0,            0.004489,            0.004489,            0.004489
